,id,name,last,party,state,Endorsement,Ideology
86646,E000285,"Sen. Enzi, Michael B. [R-WY]",Enzi,R,WY,No Endorsement,0.545
50256,G000386,"Sen. Grassley, Chuck [R-IA]",Grassley,R,IA,No Endorsement,0.355
86647,H001016,"Sen. Hutchison, Kay Bailey [R-TX]",Hutchison,R,TX,No Endorsement,0.356
28174,I000024,"Sen. Inhofe, James M. [R-OK]",Inhofe,R,OK,Thompson,0.552
28175,I000055,"Sen. Isakson, Johnny [R-GA]",Isakson,R,GA,No Endorsement,0.402
78308,K000360,"Sen. Kirk, Mark Steven [R-IL-None]",Kirk,R,IL,McCain,0.274
68552,K000352,"Sen. Kyl, Jon [R-AZ]",Kyl,R,AZ,McCain,0.548
28172,L000304,"Sen. Lieberman, Joseph I. [ID-CT]",Lieberman,ID,CT,McCain,-0.205
24056,M000303,"Sen. McCain, John [R-AZ]",Mccain,R,AZ,McCain,0.381
28332,M001176,"Sen. Merkley, Jeff [D-OR]",Merkley,D,OR,No Endorsement,-0.444
34945,M001153,"Sen. Murkowski, Lisa [R-AK]",Murkowski,R,AK,No Endorsement,0.211
28173,N000032,"Sen. Nelson, Bill [D-FL]",Nelson,D,FL,No Endorsement,-0.193
42682,R000584,"Sen. Risch, James E. [R-ID]",Risch,R,ID,No Endorsement,0.551
50258,R000307,"Sen. Roberts, Pat [R-KS]",Roberts,R,KS,No Endorsement,0.413
86650,S001141,"Sen. Sessions, Jeff [R-AL]",Sessions,R,AL,No Endorsement,0.549
28331,S001181,"Sen. Shaheen, Jeanne [D-NH]",Shaheen,D,NH,No Endorsement,-0.238
88452,S000320,"Sen. Shelby, Richard C. [R-AL]",Shelby,R,AL,No Endorsement,0.446
1274,S000663,"Sen. Snowe, Olympia J. [R-ME]",Snowe,R,ME,McCain,0.091
86654,T000250,"Sen. Thune, John [R-SD]",Thune,R,SD,McCain,0.428
38117,V000127,"Sen. Vitter, David [R-LA]",Vitter,R,LA,Giuliani,0.495
32315,W000437,"Sen. Wicker, Roger F. [R-MS]",Wicker,R,MS,Thompson,0.376
