,id,name,last,party,state,Endorsement,Ideology
329,M001158,"Rep. Marchant, Kenny [R-TX-24]",Marchant,R,TX,No Endorsement,0.6
213,M001172,"Rep. Markey, Betsy [D-CO-4]",Markey,D,CO,No Endorsement,-0.19
176,M000133,"Rep. Markey, Edward J. [D-MA-7]",Markey,D,MA,No Endorsement,-0.514
1124,M001146,"Rep. Marshall, Jim [D-GA-8]",Marshall,D,GA,No Endorsement,-0.119
129,M001173,"Rep. Massa, Eric J. J. [D-NY-29]",Massa,D,NY,No Endorsement,-0.201
281,M001142,"Rep. Matheson, Jim [D-UT-2]",Matheson,D,UT,No Endorsement,-0.115
81,M001163,"Rep. Matsui, Doris O. [D-CA-5]",Matsui,D,CA,Clinton,-0.435
177,M000309,"Rep. McCarthy, Carolyn [D-NY-4]",Mccarthy,D,NY,Clinton,-0.294
932,M001165,"Rep. McCarthy, Kevin [R-CA-22]",Mccarthy,R,CA,No Endorsement,0.457
412,M001157,"Rep. McCaul, Michael T. [R-TX-10]",Mccaul,R,TX,No Endorsement,0.422
206,M001177,"Rep. McClintock, Tom [R-CA-4]",Mcclintock,R,CA,No Endorsement,0.688
61,M001143,"Rep. McCollum, Betty [D-MN-4]",Mccollum,D,MN,Obama,-0.417
500,M001147,"Rep. McCotter, Thaddeus G. [R-MI-11]",Mccotter,R,MI,Thompson,0.335
62,M000404,"Rep. McDermott, Jim [D-WA-7]",Mcdermott,D,WA,No Endorsement,-0.666
57,M000312,"Rep. McGovern, James P. [D-MA-3]",Mcgovern,D,MA,Clinton,-0.538
924,M001156,"Rep. McHenry, Patrick T. [R-NC-10]",Mchenry,R,NC,No Endorsement,0.532
284,M000472,"Rep. McHugh, John M. [R-NY-23]",Mchugh,R,NY,No Endorsement,0.225
852,M000485,"Rep. McIntyre, Mike [D-NC-7]",Mcintyre,D,NC,Edwards,-0.148
238,M000508,"Rep. McKeon, Howard P. ""Buck"" [R-CA-25]",Mckeon,R,CA,Romney,0.396
362,M001174,"Rep. McMahon, Michael E. [D-NY-13]",Mcmahon,D,NY,No Endorsement,-0.156
190,M001159,"Rep. McMorris Rodgers, Cathy [R-WA-5]",Mcmorris Rodgers,R,WA,No Endorsement,0.422
825,M001166,"Rep. McNerney, Jerry [D-CA-11]",Mcnerney,D,CA,No Endorsement,-0.263
37,M001148,"Rep. Meek, Kendrick B. [D-FL-17]",Meek,D,FL,Clinton,-0.363
65,M001137,"Rep. Meeks, Gregory W. [D-NY-6]",Meeks,D,NY,Clinton,-0.414
375,M001161,"Rep. Melancon, Charlie [D-LA-3]",Melancon,D,LA,No Endorsement,-0.178
1652,M000689,"Rep. Mica, John L. [R-FL-7]",Mica,R,FL,No Endorsement,0.453
103,M001149,"Rep. Michaud, Michael H. [D-ME-2]",Michaud,D,ME,Edwards,-0.283
738,M001154,"Rep. Miller, Brad [D-NC-13]",Miller,D,NC,Edwards,-0.376
154,M001150,"Rep. Miller, Candice S. [R-MI-10]",Miller,R,MI,No Endorsement,0.343
547,M001139,"Rep. Miller, Gary G. [R-CA-42]",Miller,R,CA,Giuliani,0.478
87,M000725,"Rep. Miller, George [D-CA-7]",Miller,D,CA,No Endorsement,-0.552
15,M001144,"Rep. Miller, Jeff [R-FL-1]",Miller,R,FL,Thompson,0.633
299,M001175,"Rep. Minnick, Walter [D-ID-1]",Minnick,D,ID,No Endorsement,0.088
